Profile,ProfileLabel,Year,Annual spend,Envelope,Closing net,NPV (m)
4,Profile 4 – 3.03% toward 'Mathematical Best',2031,3366417834.99394,2500000000.0,1034444916.9156361,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2032,2880967966.2436366,2500000000.0,653476950.6719995,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2033,2603207905.9527273,2500000000.0,550269044.719272,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2034,2627728427.534546,2500000000.0,422540617.1847261,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2035,2577999678.987879,2500000000.0,344540938.19684714,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2036,3227470440.2436366,2500000000.0,-382929502.04678947,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2037,2493563108.9690666,2500000000.0,-376492611.0158562,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2038,2441252329.046982,2500000000.0,-317744940.062838,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2039,2437634003.1306667,2500000000.0,-255378943.19350457,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2040,2359843768.192727,2500000000.0,-115222711.38623187,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2041,2136629142.2727275,2500000000.0,248148146.3410406,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2042,2428308918.7854543,2500000000.0,319839227.5555861,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2043,2080442307.4363637,2500000000.0,739396920.1192224,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2044,1561616760.9665492,2500000000.0,1677780159.1526732,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2045,3455324258.360489,2500000000.0,722455900.7921842,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2046,2975341879.1709094,2500000000.0,247114021.62127474,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2047,2624856125.722133,2500000000.0,122257895.89914146,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2048,2552946896.6529937,2500000000.0,69310999.24614759,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2049,2349152377.664582,2500000000.0,220158621.58156583,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2050,2264141383.5464244,2500000000.0,456017238.03514165,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2051,2214991536.874085,2500000000.0,741025701.1610568,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2052,2292878833.4768,2500000000.0,948146867.6842566,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2053,2875025206.090431,2500000000.0,573121661.5938256,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2054,2633153044.0,2500000000.0,439968617.5938256,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2055,2584889864.0,2500000000.0,355078753.5938256,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2056,2516289326.0,2500000000.0,338789427.5938256,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2057,2470631264.0,2500000000.0,368158163.5938256,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2058,2510931632.0,2500000000.0,357226531.5938256,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2059,2184580887.6545453,2500000000.0,672645643.9392804,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2060,2145889680.9636362,2500000000.0,1026755962.9756441,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2061,2276978525.0,2500000000.0,1249777437.975644,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2062,1585217780.8727272,2500000000.0,2164559657.102917,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2063,1175583009.7636364,400339515.1515151,1389316162.490796,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2064,711339730.8727272,400339515.1515151,1078315946.7695842,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2065,378871598.30909085,400339515.1515151,1099783863.6120086,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2066,163870712.72727272,380520727.27272725,1316433878.157463,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2067,28418421.818181816,380520727.27272725,1668536183.6120086,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2068,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2069,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2070,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2071,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2072,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2073,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2074,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2075,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2076,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2077,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2078,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2079,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2080,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2081,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2082,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2083,0.0,0.0,,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2084,0.0,0.0,,62883.6809787861
5,Profile 5 – 4.04% toward 'Mathematical Best',2025,250482589.59595963,2500000000.0,2249517410.4040403,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2026,1320338795.101091,2500000000.0,3429178615.3029494,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2027,2456707891.854545,2500000000.0,3472470723.448404,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2028,2919461277.5268183,2500000000.0,3053009445.921586,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2029,3266627015.9055552,2500000000.0,2286382430.0160303,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2030,2899604009.6367626,2500000000.0,1886778420.379268,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2031,3362226279.5252533,2500000000.0,1024552140.8540148,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2032,2877839879.418182,2500000000.0,646712261.4358327,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2033,2601031310.7136364,2500000000.0,545680950.7221963,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2034,2624875302.206061,2500000000.0,420805648.5161353,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2035,2576757867.9671717,2500000000.0,344047780.5489633,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2036,3220091329.334849,2500000000.0,-376043548.7858854,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2037,2493928355.0527225,2500000000.0,-369971903.83860767,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2038,2441928227.0152426,2500000000.0,-311900130.8538501,64408.51350342298
5,Profile 5 – 4.04% toward 'Mathematical Best',2039,2438539267.243889,2500000000.0,-250439398.0977389,64408.51350342298
